what,kind,bundleId,bundleVersion,description,time
started,bundle,com.ibm.team.filesystem.cli.core,2.1.0.v20101029_1718,"com.ibm.team.filesystem.cli.core",1436530937278
started,bundle,com.ibm.team.filesystem.cli.logging,1.1.0.v20101014_0022,"com.ibm.team.filesystem.cli.logging",1436530937279
started,bundle,com.ibm.team.filesystem.client,2.1.0.v20101105_2334,"com.ibm.team.filesystem.client",1436530937281
started,bundle,com.ibm.team.filesystem.common,2.1.0.v20101014_0022,"com.ibm.team.filesystem.common",1436530937292
started,bundle,com.ibm.team.filesystem.ide.ui,2.1.0.v20101105_2334,"com.ibm.team.filesystem.ide.ui",1436530937306
started,bundle,com.ibm.team.filesystem.rcp.core,2.1.0.v20101030_0023,"com.ibm.team.filesystem.rcp.core",1436530937320
started,bundle,com.ibm.team.filesystem.rcp.ui,2.1.0.v20101014_0022,"com.ibm.team.filesystem.rcp.ui",1436530937362
started,bundle,com.ibm.team.foundation.common,1.1.0.v20101030_0018,"com.ibm.team.foundation.common",1436530937364
started,bundle,com.ibm.team.foundation.rcp.core,1.1.0.v20101027_0012,"com.ibm.team.foundation.rcp.core",1436530937365
started,bundle,com.ibm.team.foundation.rcp.ui,1.1.0.v20101014_1645,"com.ibm.team.foundation.rcp.ui",1436530937367
started,bundle,com.ibm.team.interop.common,2.1.0.v20101014_0022,"com.ibm.team.interop.common",1436530937384
started,bundle,com.ibm.team.javalogging.ui,1.1.0.v20101013_2242,"com.ibm.team.javalogging.ui",1436530937388
started,bundle,com.ibm.team.jface,1.1.0.v20101014_1645,"com.ibm.team.jface",1436530937390
started,bundle,com.ibm.team.log4j.ui,1.1.0.v20101013_2242,"com.ibm.team.log4j.ui",1436530937392
started,bundle,com.ibm.team.metronome,2.1.0.v20101014_0022,"com.ibm.team.metronome",1436530937393
started,bundle,com.ibm.team.process.common,1.2.0.v20101102_1226,"com.ibm.team.process.common",1436530937424
started,bundle,com.ibm.team.process.rcp.ui,1.2.0.v20101102_0623,"com.ibm.team.process.rcp.ui",1436530937430
started,bundle,com.ibm.team.repository.client,1.1.0.v20101030_2103,"com.ibm.team.repository.client",1436530937431
started,bundle,com.ibm.team.repository.common,1.1.0.v20101027_0012,"com.ibm.team.repository.common",1436530937432
started,bundle,com.ibm.team.repository.common.remoteaccess,1.1.0.v20101101_2111,"com.ibm.team.repository.common.remoteaccess",1436530937446
started,bundle,com.ibm.team.repository.common.serialize,1.1.0.v20101013_2242,"com.ibm.team.repository.common.serialize",1436530937451
started,bundle,com.ibm.team.repository.rcp.common,2.1.0.v20101014_0022,"com.ibm.team.repository.rcp.common",1436530937460
started,bundle,com.ibm.team.repository.rcp.core,2.1.0.v20101014_0022,"com.ibm.team.repository.rcp.core",1436530937507
started,bundle,com.ibm.team.repository.rcp.ui,2.1.0.v20101014_0022,"com.ibm.team.repository.rcp.ui",1436530937509
started,bundle,com.ibm.team.scm.common,2.1.0.v20101105_2334,"com.ibm.team.scm.common",1436530937603
